,UNKNOWN,DRY,WET,OTHER,SAND_MUD_DIRT
17964123,0,0,0,1,0
17964133,0,1,0,0,0
17964134,0,1,0,0,0
17964135,0,1,0,0,0
17964572,0,1,0,0,0
17964577,0,1,0,0,0
17964581,0,1,0,0,0
17965131,0,1,0,0,0
17965133,0,1,0,0,0
17965134,0,1,0,0,0
17965154,0,1,0,0,0
17966065,0,1,0,0,0
17966646,0,1,0,0,0
17966649,0,1,0,0,0
17966650,0,1,0,0,0
17966651,0,1,0,0,0
17968134,0,1,0,0,0
17968138,0,1,0,0,0
17968139,0,1,0,0,0
17968141,0,1,0,0,0
17968142,0,1,0,0,0
17969621,0,1,0,0,0
17969622,0,1,0,0,0
17971321,0,1,0,0,0
17971329,0,1,0,0,0
17971331,0,1,0,0,0
17971396,0,1,0,0,0
17975578,0,1,0,0,0
17975889,0,1,0,0,0
17975894,0,1,0,0,0
17975895,0,1,0,0,0
17976204,0,1,0,0,0
17976212,0,1,0,0,0
17976222,0,1,0,0,0
17976223,0,1,0,0,0
17976605,0,1,0,0,0
17976620,0,1,0,0,0
17976662,0,1,0,0,0
17976668,0,1,0,0,0
17976671,0,1,0,0,0
17976682,0,1,0,0,0
17977349,0,1,0,0,0
17977352,0,1,0,0,0
17977371,0,1,0,0,0
17977373,0,1,0,0,0
17977407,0,1,0,0,0
17979621,0,0,1,0,0
17981972,0,1,0,0,0
17986099,0,1,0,0,0
17986106,0,1,0,0,0
17986408,0,1,0,0,0
17986409,0,1,0,0,0
17986823,0,1,0,0,0
17986864,0,1,0,0,0
17987160,0,1,0,0,0
17987172,0,1,0,0,0
17987181,0,1,0,0,0
17987463,0,1,0,0,0
17987464,0,1,0,0,0
17987467,0,1,0,0,0
17987487,0,0,1,0,0
17987566,0,1,0,0,0
17987568,0,0,1,0,0
17987576,0,1,0,0,0
17987691,0,0,1,0,0
17987694,0,0,1,0,0
17987696,0,0,1,0,0
17987698,0,1,0,0,0
17988861,0,1,0,0,0
17988880,0,1,0,0,0
17989974,0,1,0,0,0
17990074,0,1,0,0,0
17990077,0,1,0,0,0
17990322,0,1,0,0,0
17990533,0,1,0,0,0
17991615,0,1,0,0,0
17992016,0,1,0,0,0
17992053,0,1,0,0,0
17992054,0,1,0,0,0
17992116,0,1,0,0,0
17992117,0,1,0,0,0
17992457,0,1,0,0,0
17992918,0,1,0,0,0
17992973,0,1,0,0,0
17993914,0,1,0,0,0
17994212,0,1,0,0,0
17998048,0,1,0,0,0
17998057,0,1,0,0,0
17998155,0,1,0,0,0
17998157,0,1,0,0,0
17998158,0,1,0,0,0
17998159,0,1,0,0,0
17998171,0,1,0,0,0
17998225,0,1,0,0,0
17998226,0,0,1,0,0
17998291,0,1,0,0,0
17998296,0,1,0,0,0
17998338,0,1,0,0,0
17998340,0,1,0,0,0
17998345,0,1,0,0,0
17998346,0,1,0,0,0
17998358,0,1,0,0,0
17999865,0,1,0,0,0
18001966,0,1,0,0,0
18001988,0,1,0,0,0
18004589,0,1,0,0,0
18004592,0,1,0,0,0
18004596,0,1,0,0,0
18004598,0,1,0,0,0
18004599,0,1,0,0,0
18004602,0,1,0,0,0
18004806,0,1,0,0,0
18004819,0,1,0,0,0
18004821,0,1,0,0,0
18005704,0,1,0,0,0
18010959,0,1,0,0,0
18010960,0,1,0,0,0
18010961,0,1,0,0,0
18010964,0,1,0,0,0
18010971,0,1,0,0,0
18011048,0,1,0,0,0
18011055,0,1,0,0,0
18011056,0,1,0,0,0
18011057,0,1,0,0,0
18011060,0,1,0,0,0
18011127,0,1,0,0,0
18011129,0,1,0,0,0
18011131,0,1,0,0,0
18011135,0,1,0,0,0
18011169,0,1,0,0,0
18011171,0,1,0,0,0
18011180,0,1,0,0,0
18011182,0,1,0,0,0
18011187,0,1,0,0,0
18011194,0,1,0,0,0
18012438,0,1,0,0,0
18012462,0,1,0,0,0
18012873,0,1,0,0,0
18014013,0,1,0,0,0
18014014,0,1,0,0,0
18014028,0,1,0,0,0
18014067,0,1,0,0,0
18014551,0,1,0,0,0
18019728,0,1,0,0,0
18021173,0,1,0,0,0
18021202,0,1,0,0,0
18021275,0,1,0,0,0
18021278,0,1,0,0,0
18021282,0,1,0,0,0
18021425,0,1,0,0,0
18021429,0,1,0,0,0
18021777,0,1,0,0,0
18021778,0,1,0,0,0
18021784,0,1,0,0,0
18021849,0,1,0,0,0
18021851,0,0,1,0,0
18021860,0,0,1,0,0
18021863,0,0,1,0,0
18021866,0,0,1,0,0
18021915,0,0,1,0,0
18021918,0,1,0,0,0
18021992,0,1,0,0,0
18021995,0,1,0,0,0
18022012,0,1,0,0,0
18022088,0,1,0,0,0
18022090,0,1,0,0,0
18022091,0,1,0,0,0
18022295,0,1,0,0,0
18022686,0,1,0,0,0
18023801,0,1,0,0,0
18023811,0,1,0,0,0
18025675,0,1,0,0,0
18031608,0,1,0,0,0
18031610,0,1,0,0,0
18031931,0,1,0,0,0
18031933,0,0,1,0,0
18031937,0,1,0,0,0
18031938,0,1,0,0,0
18031966,0,1,0,0,0
18032226,0,1,0,0,0
18032232,0,1,0,0,0
18032233,0,1,0,0,0
18032489,0,1,0,0,0
18032519,0,1,0,0,0
18032711,0,1,0,0,0
18032715,0,1,0,0,0
18032716,0,1,0,0,0
18032731,0,1,0,0,0
18032732,0,1,0,0,0
18032733,0,1,0,0,0
18032735,0,1,0,0,0
18032952,0,1,0,0,0
18033076,0,1,0,0,0
18033077,0,1,0,0,0
18033078,0,1,0,0,0
18033097,0,1,0,0,0
18033105,0,1,0,0,0
18033107,0,1,0,0,0
18033114,0,1,0,0,0
18033211,0,1,0,0,0
18033221,0,1,0,0,0
18033222,0,1,0,0,0
18033223,0,1,0,0,0
18033227,0,1,0,0,0
18033228,0,1,0,0,0
18033815,0,1,0,0,0
18033847,0,1,0,0,0
18037787,0,0,1,0,0
18042109,0,1,0,0,0
18042929,0,0,1,0,0
18045331,0,1,0,0,0
18045552,0,1,0,0,0
18049979,0,1,0,0,0
18049980,0,1,0,0,0
18050050,0,1,0,0,0
18054645,0,1,0,0,0
18056348,0,0,1,0,0
18064616,0,1,0,0,0
18064618,0,1,0,0,0
18066507,0,1,0,0,0
18075472,0,1,0,0,0
18082469,0,1,0,0,0
Total,2,1081,100,1,1
